dwc:taxonID	dwc:parentNameUsageID	dwc:acceptedNameUsageID	dwc:originalNameUsageID	dwc:scientificNameID	dwc:datasetID	dwc:taxonomicStatus	dwc:taxonRank	dwc:scientificName	dwc:scientificNameAuthorship	col:notho	dwc:genericName	dwc:infragenericEpithet	dwc:specificEpithet	dwc:infraspecificEpithet	dwc:cultivarEpithet	dwc:nameAccordingTo	dwc:namePublishedIn	dwc:nomenclaturalCode	dwc:nomenclaturalStatus	dwc:kingdom	dwc:phylum	dwc:class	dwc:order	dwc:superfamily	dwc:family	dwc:subfamily	dwc:tribe	dwc:subtribe	dwc:genus	dwc:subgenus	dwc:taxonRemarks	dcterms:references	clb:merged
urn:lsid:marinespecies.org:taxname:1						accepted	superdomain	Biota																								https://www.marinespecies.org/aphia.php?p=taxdetails&id=1	false
urn:lsid:marinespecies.org:taxname:1702292	urn:lsid:marinespecies.org:taxname:1					accepted	species	Bodianus pulcher (Ayres, 1854)			Bodianus		pulcher					ICZN		Animalia	Chordata	Actinopteri	Eupercaria		Labridae				Bodianus			https://www.marinespecies.org/aphia.php?p=taxdetails&id=1702292	false
urn:lsid:marinespecies.org:taxname:282753	urn:lsid:marinespecies.org:taxname:1	urn:lsid:marinespecies.org:taxname:1702292				synonym	species	Semicossyphus pulcher (Ayres, 1854)			Semicossyphus		pulcher					ICZN														https://www.marinespecies.org/aphia.php?p=taxdetails&id=282753	false
